file_path,is_buggy,lines_of_code,cyclomatic_complexity_x,essential_complexity,design_complexity,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_intelligence,halstead_effort,halstead_bugs,halstead_time,lines_of_code_clean,lines_of_comments,lines_blank,lines_code_and_comment,unique_operators,unique_operands,total_operators,total_operands,branch_count,code_churn_30d,code_churn_90d,commit_count_30d,commit_count_90d,author_count_90d,bug_fix_count_90d,fix_density,days_since_last_change,commit_burst_30d,ownership_score,cyclomatic_complexity_y,cognitive_complexity,max_nesting_depth,num_functions,num_classes,avg_function_length,num_imports,ast_node_count,has_try_except,max_args_per_function
KC1_module_10,1,5.5909869805108565,49,8,7,6.911747300251674,5.760345540061181,0.3321630477034516,70.13352237899022,652.787224491315,8.990286820220602,4.940882122785751,6.86711091354641,88,65,29,26,13,18,5.68697535633982,4.68213122712422,25,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_11,0,6.192362489474872,37,24,5,6.682108597449809,7.633949503077097,0.1691347073828557,98.6844793323718,919.1096645666051,11.151137818061912,1.6345972759611238,6.789738539682936,220,43,43,18,20,52,6.133398042996649,3.4011973816621555,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_12,1,5.916202062607435,42,8,15,5.780743515792329,7.431471270500362,0.2117721634663103,46.37925282498974,100.52200141670842,8.891722221897576,0.4419511770874873,5.649449746172136,192,65,49,1,10,63,6.202535517187923,6.111467339502679,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_13,0,5.948034989180646,41,10,7,7.520776415062797,8.465765770916695,0.0900013910450898,10.185759958547203,315.7644778460912,10.773976794800856,1.243451903939325,6.706798843457695,168,77,30,8,8,67,5.796057750765372,6.156978985585555,23,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_14,1,5.8916442118257715,47,16,5,7.172424577124845,7.981944640042998,0.1201106301013843,56.63890829657392,72.45497359587183,10.432252120334677,0.2920718977730935,6.532141118643874,254,68,17,23,23,98,6.028278520230698,4.890349128221754,8,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_15,0,5.981414211254481,6,25,18,6.480044561926653,8.306801915769443,0.0713045341848453,13.529815420272069,944.8051719440384,10.038286453931422,3.9501488458195793,6.239929564764067,395,65,21,20,17,86,4.174387269895637,3.4965075614664802,26,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_16,0,5.568344503761097,44,12,10,6.733401891837359,6.841264826253507,0.9898230692048736,75.40043646765994,445.265465999388,9.850087403265576,2.562764562705527,6.04953565982946,165,84,41,43,15,41,6.16541785423142,5.840641657373398,8,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_17,1,4.290459441148391,4,15,1,7.284820912568604,8.496236588789447,0.0740576833690735,51.26002274871601,675.3444706761884,11.243290077008298,1.6849330943340046,6.705030287696259,30,70,21,39,10,79,5.5093883366279774,5.700443573390687,12,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_18,1,6.045005314036012,24,2,10,7.275864600546533,7.8416241185635736,0.1325420809514136,72.61970546935136,841.1200645043214,11.463315648482583,3.310248023157812,6.677183497420959,366,81,25,7,5,14,5.886104031450156,6.100318952020064,26,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_19,0,5.442417710521793,30,4,9,6.838405200847344,7.832011471662977,0.8272545955907364,87.06682086097385,991.0002480764886,9.554281521418725,3.153232629751601,6.630599392593364,373,40,9,29,6,86,4.875197323201151,5.676753802268282,7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_20,0,5.545177444479562,18,2,17,6.429719478039138,8.488451100569197,0.5802402167429431,63.265853699114935,161.78245779226577,11.4718237833776,4.699360446137951,6.907010953255756,132,20,49,22,22,41,4.04305126783455,5.948034989180646,29,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_21,0,5.2574953720277815,8,3,14,7.190676034332207,7.5840556302494395,0.7744172045693324,61.63149359606498,799.5126057182287,10.99403027124656,4.806302583741898,6.172769881350549,203,23,32,5,7,77,6.095824562432225,5.981414211254481,1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_22,0,4.605170185988092,10,26,4,7.188412736496954,7.625044979551691,0.630912007772655,75.7024592485235,887.4228981367363,11.069803262753439,3.4034188783270265,6.694466729497126,345,61,16,33,11,97,5.442417710521793,2.70805020110221,7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_23,0,6.142037405587356,41,25,3,7.0967213784947605,7.995066700627396,0.882175070328948,84.40304514381407,48.87537685087562,11.17075405131804,4.089079636220843,6.760968844561245,203,53,29,26,27,71,4.356708826689592,4.418840607796598,17,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_24,1,5.973809611869261,16,24,12,5.10594547390058,6.5909296852939585,0.6384675277647406,87.03632484142327,754.0905601855734,11.162551728749651,3.9621255016758927,5.3594246081374415,195,7,20,4,13,92,5.808142489980444,5.973809611869261,17,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_25,0,5.786897381366708,16,2,1,6.863803391452954,7.4231621345134595,0.5221250929031509,4.606589372605447,354.72532119655034,11.314476108046971,2.4565176634994987,3.762744087180591,369,20,7,23,23,5,3.6109179126442243,4.584967478670572,27,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_26,0,5.337538079701318,46,3,7,7.119635638017636,6.954372398066153,0.7127496937612997,56.06283938298114,648.596791470432,10.787245139548475,3.5222914401670846,6.00573326846601,332,96,43,36,13,21,5.442417710521793,4.718498871295094,28,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_27,0,6.025865973825314,8,9,3,7.550661243105336,6.408675481493576,0.4473927517921094,22.41066166995759,514.0481960388647,10.885257417272387,0.3912950384178509,6.754297157790346,205,72,44,16,28,64,5.87493073085203,5.937536205082426,20,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_28,0,5.627621113690637,45,17,1,6.966967138613983,8.376806024964292,0.3460638229047347,86.17424318739656,259.74225208663694,10.387496323652982,3.790105415751535,5.6702370016270285,68,75,41,17,25,56,5.8971538676367405,4.709530201312334,19,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_29,0,5.429345628954441,46,10,18,6.54965074223381,8.002601389169884,0.4676524524502125,65.19137083513276,135.22136200398606,9.270139582074862,4.809165035961838,6.552522372047262,178,19,18,5,16,16,5.4510384535657,4.430816798843313,9,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_30,1,5.442417710521793,30,15,2,7.02197642307216,7.527523202534614,0.1697141050985606,42.60202542421138,116.9472330892083,11.10493549819028,0.4248737656286921,2.1220386474689557,272,6,12,10,22,73,5.2574953720277815,2.833213344056216,24,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_31,0,4.804021044733257,9,6,1,5.916202062607435,7.651348370822983,0.7965717298026914,19.62231858401378,103.3228577084917,8.148629548036482,4.180578922959272,5.875953893535331,112,29,2,49,15,10,6.042632833682381,5.484796933490655,19,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_32,0,4.02535169073515,8,22,18,5.298317366548036,7.703207715775097,0.2607037813359446,34.56333896606282,637.7900401345778,10.226908620646023,4.664900133246356,6.424085402137423,217,85,36,31,28,99,4.61512051684126,5.777652323222656,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_33,1,5.641907070938114,14,10,4,7.217443431696533,8.07197769956692,0.1535315463370474,70.67399175948223,351.4108513995381,9.16057889934675,1.1309444490103104,4.873342092426099,265,50,16,8,13,19,3.8501476017100584,5.910796644040527,24,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_34,1,6.100318952020064,29,2,16,7.587310506022615,8.44293721225071,0.2463522417832268,21.23159497595224,216.63343820587244,9.860300420393063,2.624055938046019,6.799732235437794,38,78,44,24,25,47,4.465908118654584,6.118097198041348,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_35,0,3.7376696182833684,8,22,1,7.4360278163518485,8.449261214763991,0.8420701517722398,10.2647115884989,691.885092705903,11.065234536790406,4.639291127314943,5.057989361649086,230,48,43,9,20,83,5.998936561946683,5.799092654460526,14,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_36,1,6.066108090103747,23,27,3,7.069874128458572,7.61051149438824,0.3302012955977313,88.91484706452755,686.8495657664669,11.049075906247106,4.80113002261484,6.814316246992748,296,49,6,22,21,53,5.484796933490655,5.942799375126701,14,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_37,0,6.030685260261263,6,1,3,4.605170185988092,7.446810308352282,0.6860498695059002,76.65682460843156,539.1682923569977,10.649331205515164,0.6394119217615818,5.3816897953866345,89,60,45,7,13,75,3.367295829986474,4.736198448394496,24,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_38,0,4.983606621708336,27,13,14,7.589335823170617,7.745490931508196,0.8564096306557393,20.77969813515513,934.9578168658508,9.117038024769268,1.7450211277772532,6.903022772232388,221,95,7,30,25,71,4.532599493153256,5.176149732573829,8,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_39,0,5.768320995793772,2,24,12,6.814542897259958,7.966891101216082,0.0777446669250421,29.938842799569173,385.4142314414213,10.678100756320562,3.490723205754283,6.406465235543477,285,43,24,28,23,95,3.1780538303479458,5.0689042022202315,11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_40,0,4.51085950651685,35,21,10,6.386879319362645,7.768071361734288,0.7650244051780429,97.23494753595767,835.862971269293,10.472776764492913,1.1077924969296515,4.446700628333597,22,59,23,31,25,49,6.016157159698354,3.7376696182833684,1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_41,1,5.945420608606575,3,25,5,7.488852955733459,8.110394707187652,0.30766546637903,71.11026418915262,75.1394079321963,11.185460710091633,1.623853143172404,4.193846466863776,259,91,47,22,25,98,5.4680601411351315,6.184148890937483,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_42,1,5.869296913133774,10,13,2,7.311886164077165,7.943624842726648,0.2166223641840426,61.44167841716865,739.8310940385045,10.967262647798613,0.1164553000234663,4.329702496774269,107,37,32,14,8,54,3.784189633918261,4.859812404361672,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_43,0,5.214935757608986,9,11,11,7.316548177182976,7.422078486345916,0.6889014524529722,31.455220056988903,988.44741383193,10.803820029239132,0.7676084046559944,6.38163452427216,161,83,43,12,26,89,4.77912349311153,5.438079308923196,17,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_44,0,3.784189633918261,41,21,5,6.345636360828596,7.49280539641637,0.9097966227332338,30.6133892724857,846.5982162878169,10.794470938366528,2.811647472088719,6.697749056731312,260,53,29,10,26,74,5.746203190540153,5.220355825078324,26,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_45,0,6.186208623900494,3,5,12,7.592870287844818,7.57871035583137,0.2950192087123954,4.9128382503328165,579.6647193100594,11.478686536085627,3.265450331520914,6.0013226503679835,6,87,41,21,11,17,5.707110264748875,3.4657359027997265,13,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_46,0,5.43372200355424,22,7,14,6.821107472256465,6.336356354496728,0.568833805384319,73.11970482329122,626.7660643271606,11.233936071448632,3.244559155479185,6.099950631467125,11,46,42,22,29,66,6.021023349349527,6.115892125483034,27,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_47,0,6.104793232414985,29,18,17,6.9782137426306985,6.818603684809966,0.2898341138494915,5.274347280631569,353.2895494369468,10.814750829711056,3.8918023538910833,6.380610051375148,181,62,42,33,18,88,3.1354942159291497,4.770684624465665,29,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_48,0,5.8377304471659395,26,20,10,7.317876198626496,8.200907955801801,0.5542855857264279,1.480876439950625,679.4852182581039,10.778442387606718,2.0764070686939573,6.2804718749951425,380,32,20,2,13,17,3.8066624897703196,4.0943445622221,1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_49,1,5.971261839790462,34,4,1,7.190676034332207,7.604682250353182,0.6218620306543405,73.22001369823694,770.395383181327,7.917996073526279,1.3674535812057775,6.535330865115038,7,63,19,14,10,84,3.332204510175204,5.181783550292085,15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_50,0,5.948034989180646,40,15,6,5.8916442118257715,7.049463990862311,0.6103353887901798,94.9385019577634,998.228481117854,11.45378753865918,0.0779035002126249,6.158642262934904,316,32,49,42,14,15,5.318119993844216,4.394449154672439,15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_51,0,4.663439094112067,20,11,17,6.428105272684596,7.957910532123186,0.6235463696427459,75.89380172500374,492.462917000433,10.373068585611811,1.0331491302619344,6.572087677644806,34,60,37,45,5,87,5.905361848054571,6.214608098422191,11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_52,0,5.241747015059643,41,15,11,6.601230118728877,8.243583308454882,0.1350797922175241,47.69237887181349,61.30406577344228,10.153051560609532,1.5619390610101864,6.906064593124544,198,78,45,46,22,79,5.814130531825066,4.634728988229636,24,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_53,0,5.476463551931511,16,28,12,7.5480289699350145,7.216980797546219,0.6935404695867196,49.11847970652643,595.8579507309853,11.512344812886715,0.8910342824023276,5.861634417063237,175,43,28,15,22,19,4.727387818712341,5.0689042022202315,11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_54,1,5.537334267018537,49,3,9,7.268920128193722,8.331410553126169,0.6747503563802233,44.17750584226143,119.0241499821686,11.1830050925012,0.1007223574830112,2.581387576981197,189,42,46,6,21,74,5.808142489980444,4.962844630259907,1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_55,0,3.4657359027997265,25,29,4,6.61472560020376,8.443713227720508,0.6825881222168831,33.139723043923034,244.76504355611007,8.483148378292684,0.7872380433259579,4.841230322305444,37,32,35,9,18,16,5.805134968916488,3.1354942159291497,16,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_56,0,5.627621113690637,37,14,18,7.29641326877392,8.015734623633616,0.0740705527387063,52.649707204398176,328.77991130573724,8.745660013725612,3.3304977678378616,6.31809238804474,302,73,37,6,14,58,4.6443908991413725,2.833213344056216,6,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_57,1,4.454347296253507,43,23,15,7.301822342137932,8.125288778763945,0.4468388424141526,43.68394475697039,731.0298731484106,7.881788833309679,3.147927082362979,5.844291347124545,113,59,8,47,23,92,5.934894195619588,5.568344503761097,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_58,0,5.926926025970411,39,13,19,6.68586094706836,5.882269892142448,0.4090351320457297,60.2186201240367,183.8081238785005,11.002148641035767,4.678418196990212,6.84692464175754,309,51,28,44,26,24,5.37989735354046,4.8283137373023015,15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_59,0,5.84354441703136,42,10,17,6.70808408385307,8.462535816641184,0.0867114836431991,89.91388796960835,165.75294684235254,8.888797237537828,3.9908414569865465,6.4432502488659065,263,2,36,40,7,21,3.6888794541139363,3.9318256327243257,21,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_60,1,6.137727054086234,27,23,6,7.490529402060711,7.612917586887631,0.2223679278968107,99.50593231505722,44.96424249882747,11.444073621204206,2.838780584205956,6.256431548372219,222,11,38,36,14,45,5.308267697401205,5.030437921392435,8,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_61,1,5.926926025970411,3,20,5,7.0326242610280065,8.43990428047396,0.4409626317980367,8.795585698408795,873.2399363538808,11.44783173211265,0.6877817374660566,6.683410382932246,126,0,47,17,29,40,5.961005339623274,4.976733742420574,11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_62,0,5.247024072160486,25,5,5,5.75890177387728,7.985480909238496,0.7429063098580823,39.0836637934728,693.5054243560606,10.908737453137142,2.8203590946257844,5.559102966538282,262,85,16,23,26,9,5.863631175598097,5.384495062789089,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_63,1,6.184148890937483,9,21,18,7.27655640271871,4.817310335970027,0.2370620769846632,18.889913380914138,39.946465617626494,11.0300915463919,0.3079753045709038,6.710204593789385,399,85,15,42,29,48,4.955827057601261,6.208590026096629,11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_64,0,5.356586274672012,44,22,11,7.080026499922591,5.669383546498428,0.8297499101249115,35.859926918627835,28.292305638114577,10.28401941844433,2.154424487054264,1.4014550706049378,369,6,48,40,9,29,5.942799375126701,5.081404364984463,17,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_65,0,5.135798437050262,12,12,9,6.93537044601511,8.141787385846198,0.5457982857394634,29.45982883629388,558.674296475056,8.77830389921539,1.9512931447359767,6.430811401247687,366,4,49,25,16,16,5.303304908059076,5.87493073085203,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_66,0,6.118097198041348,12,27,19,7.283448228756631,7.957902994192171,0.7604216851846175,18.27917603105204,282.53440128671105,11.208752135833373,2.139069046814708,6.841355988802658,91,78,8,41,8,31,5.4638318050256105,5.958424693029782,8,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_67,0,5.2574953720277815,13,19,12,7.504942068396171,5.4424564210702115,0.4725559833368571,76.64352928870775,596.7263504319288,9.236925853035945,1.399129591973936,6.670588804499994,236,52,18,17,26,6,3.970291913552122,3.5553480614894135,1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_68,0,3.871201010907891,32,10,18,6.51471269087253,8.227897500445977,0.4991942254222233,50.13258554009435,434.6041756809653,9.065107449886574,3.4291522381191184,6.7506735319431,162,30,47,20,17,91,6.212606095751519,5.545177444479562,17,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_69,0,5.484796933490655,28,1,19,6.7464121285733745,8.360893038508438,0.6197193893796402,92.00531263950536,923.3125623102546,10.34792297737094,4.204722336493897,5.986338167577786,386,61,9,41,11,99,6.042632833682381,5.438079308923196,19,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_70,0,5.991464547107982,47,20,2,5.981414211254481,7.837335577657203,0.9279706081658242,4.226651881454435,287.8090149613679,7.205129790969952,3.842584962994888,6.7156729760360525,380,23,39,18,7,39,4.663439094112067,5.556828061699537,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_71,0,4.634728988229636,21,7,7,7.171656822768514,7.776204209104262,0.4918125814129099,7.630823300067002,679.1453684388935,10.67962289896984,3.138760478954401,6.313243045113655,347,19,5,37,23,88,5.652489180268651,4.553876891600541,15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_72,0,5.4680601411351315,14,22,14,6.706862336602747,4.850609202265204,0.528657538108291,40.92408471010407,54.05431161859919,11.167590591788256,2.6917239966650666,6.428977648924848,69,36,8,22,25,48,5.973809611869261,5.472270673671475,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_73,0,4.30406509320417,3,16,16,6.548219102762372,8.282883427146418,0.6019969635275295,8.947454719999676,955.8605341889254,11.291726998863844,0.1554209000401518,4.092932554738629,130,89,39,14,26,91,5.552959584921617,4.2626798770413155,13,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_74,0,5.849324779946859,1,14,3,7.24422751560335,7.450956352214417,0.7375151372977258,27.01023004506852,980.7574679083522,11.00992414550384,3.6146699934596063,5.310995148652807,285,76,30,10,29,21,4.736198448394496,6.161207321695077,19,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
